FREQ,Frequenza,DATA_TYPE,Indicatore,SEX,Sesso,AGE,Età,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y60-64,60-64 anni,2024,11.3,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y65-74,65-74 anni,2024,8.2,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y_GE75,75 anni e più,2024,4.3,,
A,Annuale,IUSELL,'Vendere merci o servizi (es. aste online, eBay)',9,Totale,Y_GE6,6 anni e più,2024,17.6,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y6-10,6-10 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y11-14,11-14 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y15-17,15-17 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y18-19,18-19 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y20-24,20-24 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y25-34,25-34 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y35-44,35-44 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y45-54,45-54 anni,2024,0,,
A,Annuale,CLOUD,'Usare servizi di archiviazione su Internet per salvare documenti, immagini, video o altri file',9,Totale,Y55-59,55-59 anni,2024,0,,
